Date,Person_ID,Age,Gender,City,Temperature_C,Activity_Level,Water_Consumed_Liters,Activity_Code
2025-01-01,P0001,34,Female,Peshawar,34.3,High,4.556820675397922,2.0
2025-01-02,P0002,49,Female,Peshawar,12.2,Medium,2.312542408082273,1.0
2025-01-03,P0003,30,Female,Karachi,10.3,High,2.8520353441030517,2.0
2025-01-04,P0004,38,Male,Peshawar,44.2,Medium,4.463840992594986,1.0
2025-01-05,P0005,39,Male,Islamabad,13.2,Medium,2.6310676837974,1.0
2025-01-06,P0006,39,Male,Islamabad,28.6,Low,2.9483145220348663,0.0
2025-01-07,P0007,23,Female,Quetta,42.5,Medium,4.239731411386062,1.0
2025-01-08,P0008,22,Female,Islamabad,18.1,High,3.651906323744916,2.0
2025-01-09,P0009,33,Male,Quetta,20.4,Low,2.4783544712464702,0.0
2025-01-10,P0010,35,Male,Islamabad,35.7,High,4.355734601770976,2.0
2025-01-11,P0011,34,Female,Lahore,34.2,Medium,3.9438289846525256,1.0
2025-01-12,P0012,40,Male,Islamabad,12.6,Low,2.5023977569808635,0.0
2025-01-13,P0013,50,Female,Lahore,11.7,High,3.151147769440552,2.0
2025-01-14,P0014,40,Male,Lahore,23.7,Low,2.912943183180105,0.0
2025-01-15,P0015,55,Male,Islamabad,44.7,High,4.816204361332511,2.0
2025-01-16,P0016,43,Male,Islamabad,12.9,High,3.062320777081894,2.0
2025-01-17,P0017,55,Female,Islamabad,17.3,Medium,2.850510672570578,1.0
2025-01-18,P0018,39,Female,Karachi,11.5,High,3.144680852719429,2.0
2025-01-19,P0019,54,Female,Peshawar,37.2,Medium,3.906925219758913,1.0
2025-01-20,P0020,55,Female,Lahore,44.7,Medium,4.386779791812344,1.0
2025-01-21,P0021,23,Male,Peshawar,36.6,High,4.420859786531065,2.0
2025-01-22,P0022,28,Male,Lahore,25.3,Low,2.5723823772945877,0.0
2025-01-23,P0023,35,Male,Quetta,38.9,Medium,3.831764045895883,1.0
2025-01-24,P0024,21,Female,Quetta,38.6,Low,3.3702764519621145,0.0
2025-01-25,P0025,34,Female,Karachi,37.0,High,4.531680413568918,2.0
2025-01-26,P0026,39,Male,Islamabad,35.6,Low,3.0943732265253,0.0
2025-01-27,P0027,28,Male,Islamabad,36.3,Low,3.527240183722899,0.0
2025-01-28,P0028,55,Female,Quetta,17.1,Medium,2.9822433797555674,1.0
2025-01-29,P0029,19,Male,Karachi,38.1,Medium,3.862560433514584,1.0
2025-01-30,P0030,42,Male,Islamabad,31.1,Low,2.935213622924299,0.0
2025-01-31,P0031,59,Male,Lahore,24.1,Medium,3.0017165066676577,1.0
2025-02-01,P0032,58,Male,Karachi,36.1,Medium,3.8824954409166086,1.0
2025-02-02,P0033,34,Female,Peshawar,12.8,Medium,2.962632279994578,1.0
2025-02-03,P0034,52,Female,Lahore,34.1,High,3.8080435255512928,2.0
2025-02-04,P0035,41,Female,Karachi,29.9,Medium,3.6787840264027576,1.0
2025-02-05,P0036,25,Male,Lahore,44.7,High,4.596103546052685,2.0
2025-02-06,P0037,38,Female,Lahore,30.4,Medium,3.661580728822506,1.0
2025-02-07,P0038,24,Male,Peshawar,28.4,High,3.845252674843044,2.0
2025-02-08,P0039,32,Male,Peshawar,41.1,Low,3.295086476975621,0.0
2025-02-09,P0040,39,Female,Peshawar,34.2,Medium,3.6059268211772375,1.0
2025-02-10,P0041,53,Male,Lahore,40.7,High,4.503107913532526,2.0
2025-02-11,P0042,36,Female,Karachi,29.4,High,4.372246456263647,2.0
2025-02-12,P0043,41,Female,Quetta,24.5,Low,2.9644454536529703,0.0
2025-02-13,P0044,33,Female,Karachi,10.1,Low,1.945158762471016,0.0
2025-02-14,P0045,39,Female,Karachi,20.1,High,3.644591432707676,2.0
2025-02-15,P0046,59,Female,Islamabad,10.8,Low,1.9592363225428904,0.0
2025-02-16,P0047,43,Female,Islamabad,15.7,Low,1.97104847345197,0.0
2025-02-17,P0048,20,Male,Quetta,43.1,High,4.860283629164882,2.0
2025-02-18,P0049,24,Female,Karachi,10.7,Medium,2.505672623980772,1.0
2025-02-19,P0050,30,Male,Lahore,36.0,Medium,3.829857222160896,1.0
2025-02-20,P0051,53,Female,Peshawar,43.5,High,4.790900196945906,2.0
2025-02-21,P0052,57,Male,Islamabad,21.9,Low,2.4676760833199918,0.0
2025-02-22,P0053,56,Female,Peshawar,33.7,Medium,3.4966117022708763,1.0
2025-02-23,P0054,33,Female,Quetta,32.3,Medium,3.3888165498316334,
2025-02-24,P0055,21,Male,Lahore,42.0,Low,3.612785795885183,0.0
2025-02-25,P0056,48,Female,Quetta,19.2,Low,2.4781152742417656,0.0
2025-02-26,P0057,41,Female,Lahore,17.0,Medium,3.3888165498316334,
2025-02-27,P0058,60,Male,Quetta,24.5,High,4.172887390642047,2.0
2025-02-28,P0059,49,Female,Islamabad,36.8,High,4.781089605781104,2.0
2025-03-01,P0060,46,Female,Islamabad,39.9,Low,3.455411070376254,0.0
2025-03-02,P0061,19,Female,Quetta,15.0,Medium,2.452091070848057,1.0
2025-03-03,P0062,57,Male,Karachi,10.9,Low,1.993997373815562,0.0
2025-03-04,P0063,51,Female,Lahore,29.8,Medium,3.5800624401891232,1.0
2025-03-05,P0064,47,Female,Karachi,30.7,High,4.058576353161966,2.0
2025-03-06,P0065,25,Male,Lahore,10.8,High,3.1582732682471217,2.0
2025-03-07,P0066,60,Male,Lahore,39.6,Medium,3.7582879592336194,1.0
2025-03-08,P0067,60,Male,Quetta,35.6,Medium,3.571515653316987,1.0
2025-03-09,P0068,53,Female,Quetta,13.9,Medium,3.3888165498316334,
2025-03-10,P0069,35,Female,Islamabad,39.5,Low,3.290491432451519,0.0
2025-03-11,P0070,27,Male,Peshawar,21.6,High,3.8903981998935695,2.0
2025-03-12,P0071,50,Female,Lahore,27.5,Medium,2.852048811617539,1.0
2025-03-13,P0072,27,Female,Lahore,15.0,High,3.045021331966513,2.0
